Permissions  Size User           Group Date Modified Name
.rwxr-xr-x  3.0Mi simonepicciani staff 13 Feb 18:08  broot
.rwxr-xr-x  6.2Mi simonepicciani staff 23 Apr 10:20  cargo
.rwxr-xr-x  6.2Mi simonepicciani staff 23 Apr 10:20  cargo-clippy
.rwxr-xr-x  6.2Mi simonepicciani staff 23 Apr 10:20  cargo-fmt
.rwxr-xr-x  6.2Mi simonepicciani staff 23 Apr 10:20  cargo-miri
.rwxr-xr-x  6.2Mi simonepicciani staff 23 Apr 10:20  clippy-driver
.rwxr-xr-x  3.6Mi simonepicciani staff  6 Sep  2018  genact
.rwxr-xr-x  6.2Mi simonepicciani staff 23 Apr 10:20  rls
.rwxr-xr-x  6.2Mi simonepicciani staff 23 Apr 10:20  rust-gdb
.rwxr-xr-x  6.2Mi simonepicciani staff 23 Apr 10:20  rust-lldb
.rwxr-xr-x  6.2Mi simonepicciani staff 23 Apr 10:20  rustc
.rwxr-xr-x  6.2Mi simonepicciani staff 23 Apr 10:20  rustdoc
.rwxr-xr-x  6.2Mi simonepicciani staff 23 Apr 10:20  rustfmt
.rwxr-xr-x  6.2Mi simonepicciani staff 23 Apr 10:20  rustup
.rwxr-xr-x  2.2Mi simonepicciani staff 31 Aug  2018  tldr
